stamp_sec,x,y,z,frame_id
0.000000,4.000000,0.000000,0.000000,"base_link"
1.000000,4.000000,0.000000,0.000000,"base_link"
2.000000,4.000000,0.000000,0.000000,"base_link"
3.000000,4.000000,0.000000,0.000000,"base_link"
4.000000,4.000000,0.000000,0.000000,"base_link"
5.000000,4.000000,0.000000,0.000000,"base_link"
6.000000,4.000000,0.000000,0.000000,"base_link"
7.000000,4.000000,0.000000,0.000000,"base_link"
8.000000,4.000000,0.000000,0.000000,"base_link"
9.000000,4.000000,0.000000,0.000000,"base_link"
10.000000,4.000000,0.000000,0.000000,"base_link"
11.000000,4.000000,0.000000,0.000000,"base_link"
12.000000,4.000000,0.000000,0.000000,"base_link"
13.000000,4.000000,0.000000,0.000000,"base_link"
14.000000,4.000000,0.000000,0.000000,"base_link"
15.000000,4.000000,0.000000,0.000000,"base_link"
16.000000,4.000000,0.000000,0.000000,"base_link"
17.000000,4.000000,0.000000,0.000000,"base_link"
18.000000,4.000000,0.000000,0.000000,"base_link"
19.000000,4.000000,0.000000,0.000000,"base_link"
20.000000,4.000000,0.000000,0.000000,"base_link"
21.000000,4.000000,0.000000,0.000000,"base_link"
22.000000,4.000000,0.000000,0.000000,"base_link"
23.000000,4.000000,0.000000,0.000000,"base_link"
24.000000,4.000000,0.000000,0.000000,"base_link"
25.000000,4.000000,0.000000,0.000000,"base_link"
26.000000,4.000000,0.000000,0.000000,"base_link"
27.000000,4.000000,0.000000,0.000000,"base_link"
28.000000,4.000000,0.000000,0.000000,"base_link"
29.000000,4.000000,0.000000,0.000000,"base_link"
30.000000,4.000000,0.000000,0.000000,"base_link"
31.000000,4.000000,0.000000,0.000000,"base_link"
32.000000,4.000000,0.000000,0.000000,"base_link"
33.000000,4.000000,0.000000,0.000000,"base_link"
34.000000,4.000000,0.000000,0.000000,"base_link"
35.000000,4.000000,0.000000,0.000000,"base_link"
36.000000,4.000000,0.000000,0.000000,"base_link"
37.000000,4.000000,0.000000,0.000000,"base_link"
38.000000,4.000000,0.000000,0.000000,"base_link"
39.000000,4.000000,0.000000,0.000000,"base_link"
40.000000,4.000000,0.000000,0.000000,"base_link"
41.000000,4.000000,0.000000,0.000000,"base_link"
42.000000,4.000000,0.000000,0.000000,"base_link"
43.000000,4.000000,0.000000,0.000000,"base_link"
44.000000,4.000000,0.000000,0.000000,"base_link"
45.000000,4.000000,0.000000,0.000000,"base_link"
46.000000,4.000000,0.000000,0.000000,"base_link"
47.000000,4.000000,0.000000,0.000000,"base_link"
